"","Time","variable","mean","sd1"
"1","AD","Akkermansia",0.00111819173151588,0.00463636728080924
"2","AD","Alistipes",0.0119976684704698,0.00699909448243034
"3","AD","Allobaculum",0.000215794558140151,0.000775944020966643
"4","AD","Alloprevotella",9.82511298879938e-05,0.00045024323982667
"5","AD","Anaeroplasma",0.00635928833245031,0.00819412064931868
"6","AD","Anaerotruncus",0.000745878061488409,0.000755863221171353
"7","AD","Bacillus",0.013739496102356,0.0130850509226584
"8","AD","Bacteroides",0.0161609113437293,0.0174285422063822
"9","AD","Bifidobacterium",0.0295020662849926,0.043522962562531
"10","AD","Blautia",0.00193788893765829,0.00187722032815177
"11","AD","Butyricicoccaceae_UCG-009",8.92303349727783e-05,0.000231718603356835
"12","AD","Butyricicoccus",8.89745257299845e-05,0.000284836431731006
"13","AD","Candidatus_Arthromitus",0.00378017714883581,0.00486464319819742
"14","AD","Clostridia_UCG-014",0.000400083328500894,0.0007456555128496
"15","AD","Clostridia_vadinBB60_group",0.0097104108879697,0.00653841946589377
"16","AD","Colidextribacter",0.00232957244093458,0.00222224601244622
"17","AD","Corynebacterium",3.66864773644435e-05,0.000168118559503846
"18","AD","Desulfovibrio",0.00235279549749615,0.00277691531105029
"19","AD","Enterorhabdus",0.000463571843287659,0.000580614298254015
"20","AD","Escherichia-Shigella",0.0107353355821676,0.0476566089091134
"21","AD","Eubacterium_nodatum_group",0.000144076262671232,0.0002731881065683
"22","AD","Eubacterium_oxidoreducens_group",2.40439523448865e-05,0.000110183231626353
"23","AD","Eubacterium_xylanophilum_group",0.00306761401989663,0.00218360299385974
"24","AD","Helicobacter",0.00770984896775373,0.00493796256891712
"25","AD","Incertae_Sedis",0.000181266054610009,0.00036717966646006
"26","AD","Intestinimonas",0.000488999032896608,0.00084955792732855
"27","AD","Lachnoclostridium",0.000827040945308361,0.000767043840899863
"28","AD","Lachnospiraceae_A2",0.00303508609771711,0.00268453541892388
"29","AD","Lachnospiraceae_ASF356",0.00295927858899961,0.00235464107795842
"30","AD","Lachnospiraceae_FCS020_group",0.000418552075552637,0.000512766005446645
"31","AD","Lachnospiraceae_NK4A136_group",0.0332588772386136,0.021569227943918
"32","AD","Lachnospiraceae_UCG-001",0.00120658054552942,0.00117311516871884
"33","AD","Lachnospiraceae_UCG-006",0.000279228752618618,0.000415074522279235
"34","AD","Lactobacillus",0.124182304078424,0.0583171451358259
"35","AD","Mucispirillum",0.0101383083836089,0.0181947928786614
"36","AD","Muribaculaceae",0.534797840779936,0.149964983555312
"37","AD","Muribaculum",0.00141324450980565,0.00117131701156037
"38","AD","Oscillibacter",0.00304966227268195,0.00288262192362258
"39","AD","Oscillospirales_UCG-010",6.52263619981059e-05,0.000200402658992929
"40","AD","Parasutterella",0.00067918259420377,0.00124366742720402
"41","AD","Prevotellaceae_UCG-001",0.00148941777930114,0.00570227102454007
"42","AD","Rikenellaceae_RC9_gut_group",0.0671012060312455,0.0564596334584262
"43","AD","Roseburia",0.00964589385886461,0.0142174434018772
"44","AD","Staphylococcus",0.000226252489633017,0.000645101634864481
"45","AD","Turicibacter",0.000175560185351993,0.000573875529790328
"46","AD","Tyzzerella",0.000193656411506525,0.000552876280602176
"47","AD","Unclassified",0.0813794787089788,0.0696175906418832
"48","WT","Akkermansia",0,0
"49","WT","Alistipes",0.0102792513889407,0.00511296186232924
"50","WT","Allobaculum",0,0
"51","WT","Alloprevotella",0,0
"52","WT","Anaeroplasma",0.00812814769204938,0.00726199706059383
"53","WT","Anaerotruncus",0.000335536199729737,0.000705720481622927
"54","WT","Bacillus",0.0111526850329062,0.0111609711293694
"55","WT","Bacteroides",0.0162463357620678,0.0160525132627651
"56","WT","Bifidobacterium",0.0404414609675586,0.0955488707197884
"57","WT","Blautia",0.00208515581316983,0.00192738369734342
"58","WT","Butyricicoccaceae_UCG-009",0,0
"59","WT","Butyricicoccus",2.95220382015174e-05,0.00011046135230933
"60","WT","Candidatus_Arthromitus",0.00204019120458013,0.00277698627627255
"61","WT","Clostridia_UCG-014",9.33642988686536e-05,0.00019287614491355
"62","WT","Clostridia_vadinBB60_group",0.0118166332300974,0.0118664047944471
"63","WT","Colidextribacter",0.00237385767747351,0.00183380911799049
"64","WT","Corynebacterium",3.94960306489198e-05,0.000147780614825781
"65","WT","Desulfovibrio",0.00267955829184957,0.00230682811563028
"66","WT","Enterorhabdus",0.000177927870121402,0.000455220672196453
"67","WT","Escherichia-Shigella",1.82355301068602e-05,6.82311059260721e-05
"68","WT","Eubacterium_nodatum_group",0,0
"69","WT","Eubacterium_oxidoreducens_group",0,0
"70","WT","Eubacterium_xylanophilum_group",0.00425926379094776,0.00376741428964239
"71","WT","Helicobacter",0.00577115383942221,0.00576123582709442
"72","WT","Incertae_Sedis",0.000179710036649365,0.000305382831793016
"73","WT","Intestinimonas",0.000395312133569346,0.000854494154933799
"74","WT","Lachnoclostridium",0.000604067465367453,0.000676107789783185
"75","WT","Lachnospiraceae_A2",0.00350237395134079,0.0032450527960557
"76","WT","Lachnospiraceae_ASF356",0.00186033880770592,0.00134362467613284
"77","WT","Lachnospiraceae_FCS020_group",0.000657400769962436,0.000621484517144374
"78","WT","Lachnospiraceae_NK4A136_group",0.0302190195148939,0.0427902645654194
"79","WT","Lachnospiraceae_UCG-001",0.0014635940593288,0.00245570516200839
"80","WT","Lachnospiraceae_UCG-006",0.000357248840766793,0.000836889179935461
"81","WT","Lactobacillus",0.135172655851982,0.0649906639980806
"82","WT","Mucispirillum",0.0153276359769673,0.0452100666977885
"83","WT","Muribaculaceae",0.531384598680696,0.137143620405793
"84","WT","Muribaculum",0.00139479683971984,0.00125053727830637
"85","WT","Oscillibacter",0.00245137569972769,0.00174692412636473
