"","Time","variable","mean","sd1"
"1","AD","Akkermansia",0.00107750565792936,0.00314001128668773
"2","AD","Alistipes",0.00536595948290391,0.0035245493942432
"3","AD","Allobaculum",1.65016501650165e-05,8.08412456364085e-05
"4","AD","Alloprevotella",3.3003300330033e-05,0.000161682491272817
"5","AD","Anaeroplasma",0.0106189121802247,0.00804752155534482
"6","AD","Anaerotruncus",0.00145530168733575,0.00151695652432889
"7","AD","Anaerovoracaceae_Family_XIII_UCG-001",3.42231348391513e-05,0.000167658435508773
"8","AD","Bacillus",0.00872772549110956,0.00624145559561388
"9","AD","Bacteroides",0.00964619159794552,0.00880911558913645
"10","AD","Bifidobacterium",0.0046756318647526,0.00684399945531763
"11","AD","Blautia",0.00448618275017333,0.0029947298380031
"12","AD","Butyricicoccaceae_UCG-009",0.000191631556858291,0.000378724207581454
"13","AD","Butyricicoccus",0.000512584373039871,0.000801661512520662
"14","AD","Candidatus_Arthromitus",0.000199118452605016,0.000515757930907107
"15","AD","Clostridia_UCG-014",8.25858759751887e-05,0.00022448037359727
"16","AD","Clostridia_vadinBB60_group",0.0136032447716726,0.0079493370484636
"17","AD","Colidextribacter",0.00485284924796439,0.00201323252895755
"18","AD","Corynebacterium",0.000950427010352237,0.00435411621430838
"19","AD","Desulfovibrio",0.00570861871378116,0.00470513961248081
"20","AD","Dubosiella",0,0
"21","AD","Enterorhabdus",0.00022308091005657,0.000469200615605656
"22","AD","Escherichia-Shigella",0,0
"23","AD","Eubacterium_oxidoreducens_group",0.000230155737566082,0.000499783535942343
"24","AD","Eubacterium_xylanophilum_group",0.00669268144765335,0.005005889401021
"25","AD","Helicobacter",0.0106776293012177,0.00764600662248243
"26","AD","Incertae_Sedis",0.00134235841344852,0.00104211054596565
"27","AD","Intestinimonas",0.00128421274941288,0.0010643091324309
"28","AD","Lachnoclostridium",0.00182151658926839,0.00116646267964689
"29","AD","Lachnospiraceae_A2",0.0119444029686501,0.00922260609820023
"30","AD","Lachnospiraceae_ASF356",0.00660947221331644,0.00518227469859596
"31","AD","Lachnospiraceae_FCS020_group",0.00135217454078781,0.00143049146345371
"32","AD","Lachnospiraceae_GCA-900066575",0.000197957011583597,0.000413381774658524
"33","AD","Lachnospiraceae_NK4A136_group",0.0614972996581431,0.0579229807677227
"34","AD","Lachnospiraceae_UCG-001",0.0170324483495692,0.0204225205527553
"35","AD","Lachnospiraceae_UCG-006",0.0014027558113233,0.00127062513510723
"36","AD","Lactobacillus",0.0773172342643784,0.0868493705476596
"37","AD","Mucispirillum",0.0725038020601594,0.0665017613882149
"38","AD","Muribaculaceae",0.358674104546454,0.133729976754197
"39","AD","Muribaculum",0.00207235153032076,0.00157185987836771
"40","AD","Oscillibacter",0.00987089003334167,0.005436232721656
"41","AD","Oscillospirales_UCG-010",8.06990188193469e-05,0.000280028626455936
"42","AD","Parasutterella",0.000286154356667591,0.000549414510867221
"43","AD","Prevotellaceae_UCG-001",0.00046314208663603,0.00170554500256496
"44","AD","Rikenellaceae_RC9_gut_group",0.0319147365614767,0.0208004564982715
"45","AD","Roseburia",0.0488604125645682,0.0442665249039318
"46","AD","Staphylococcus",0.000362887027987067,0.00102774068452404
"47","AD","Turicibacter",0,0
"48","AD","Tyzzerella",0.000128904663450872,0.00036244189233475
"49","AD","Unclassified",0.202918336783785,0.118645797642231
"50","WT","Akkermansia",0.000593687798006986,0.00109948122282065
"51","WT","Alistipes",0.00592562243744818,0.00244691490703628
"52","WT","Allobaculum",0,0
"53","WT","Alloprevotella",0,0
"54","WT","Anaeroplasma",0.0178154994324372,0.0350572196588397
"55","WT","Anaerotruncus",0.00113620530498002,0.00111072491992925
"56","WT","Anaerovoracaceae_Family_XIII_UCG-001",4.55114347479804e-05,0.000187648452639329
"57","WT","Bacillus",0.00819948328578695,0.0085739290871805
"58","WT","Bacteroides",0.0101300445976547,0.00723189593434855
"59","WT","Bifidobacterium",0.0132527416533657,0.0415773806194174
"60","WT","Blautia",0.0036212598414646,0.00364708843844818
"61","WT","Butyricicoccaceae_UCG-009",0.000122181328607037,0.000438163550631522
"62","WT","Butyricicoccus",0.00022828475071371,0.000612088162469914
"63","WT","Candidatus_Arthromitus",7.09358208161165e-05,0.000292475881864736
"64","WT","Clostridia_UCG-014",0.000219930119721225,0.000512294758236127
"65","WT","Clostridia_vadinBB60_group",0.0113164187893059,0.00695410150538013
"66","WT","Colidextribacter",0.00642177000229552,0.00298568334854456
"67","WT","Corynebacterium",1.52550646814742e-05,6.28982430073477e-05
"68","WT","Desulfovibrio",0.00980813134454466,0.00862906048267973
"69","WT","Dubosiella",0.000205389418337167,0.000846842266188313
"70","WT","Enterorhabdus",0.00017576282671774,0.000394010992626054
"71","WT","Escherichia-Shigella",5.3475935828877e-05,0.000220486931851212
"72","WT","Eubacterium_oxidoreducens_group",0.000131488185326993,0.000423711068551118
"73","WT","Eubacterium_xylanophilum_group",0.00745202774813034,0.00572560620081815
"74","WT","Helicobacter",0.00882727581483523,0.00521439787761844
"75","WT","Incertae_Sedis",0.00202829238153274,0.00132583058189746
"76","WT","Intestinimonas",0.00113054446482512,0.00141365750103493
"77","WT","Lachnoclostridium",0.00284701166721738,0.00233294555277445
"78","WT","Lachnospiraceae_A2",0.0116439048222255,0.0151016406066946
"79","WT","Lachnospiraceae_ASF356",0.00718077980742457,0.00365136710050267
"80","WT","Lachnospiraceae_FCS020_group",0.00208223768125328,0.00181072414944919
"81","WT","Lachnospiraceae_GCA-900066575",0.000284825813806807,0.00102938855158173
"82","WT","Lachnospiraceae_NK4A136_group",0.0489716759028655,0.0385254955819832
"83","WT","Lachnospiraceae_UCG-001",0.00623473681420845,0.00894942614201679
"84","WT","Lachnospiraceae_UCG-006",0.00154752085730758,0.00189748010834633
"85","WT","Lactobacillus",0.0684871057688774,0.0490226063540818
"86","WT","Mucispirillum",0.0723317390518595,0.0822055632854904
"87","WT","Muribaculaceae",0.353017281928558,0.113568110427606
"88","WT","Muribaculum",0.00262333407361657,0.00228712504722307
"89","WT","Oscillibacter",0.0126168460255803,0.0059140379160782
"90","WT","Oscillospirales_UCG-010",0.000107010873852784,0.000306718414076646
"91","WT","Parasutterella",9.52350719024794e-05,0.000392664260717215
"92","WT","Prevotellaceae_UCG-001",0,0
