"","Akkermansia","Alistipes","Allobaculum","Alloprevotella","Anaeroplasma","Anaerotruncus","Anaerovoracaceae_Family_XIII_UCG-001","Bacillus","Bacteroides","Bifidobacterium","Blautia","Butyricicoccaceae_UCG-009","Butyricicoccus","Candidatus_Arthromitus","Clostridia_UCG-014","Clostridia_vadinBB60_group","Colidextribacter","Corynebacterium","Desulfovibrio","Enterorhabdus","Escherichia-Shigella","Eubacterium_nodatum_group","Eubacterium_oxidoreducens_group","Eubacterium_xylanophilum_group","Faecalibaculum","Gastranaerophilales","Helicobacter","Incertae_Sedis","Intestinimonas","Lachnoclostridium","Lachnospiraceae_A2","Lachnospiraceae_ASF356","Lachnospiraceae_FCS020_group","Lachnospiraceae_GCA-900066575","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG-001","Lachnospiraceae_UCG-006","Lactobacillus","Mucispirillum","Muribaculaceae","Muribaculum","Oscillibacter","Oscillospirales_UCG-010","Parasutterella","Prevotellaceae_UCG-001","Rikenellaceae_RC9_gut_group","Roseburia","Ruminococcus","Staphylococcus","Turicibacter","Tyzzerella"
"Akkermansia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allobaculum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611117112167023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,0,0.530687399622274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroplasma",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733414673751856,0.61394061351492,0,0,0,0,0,0.703853643405394,0,0.676194535669655,0,0,0.630105996615874,0,0,0,0,0,0,0,0,0
"Anaerovoracaceae_Family_XIII_UCG-001",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.615702640873637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,0,0,-0.433025900512765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.602496161994222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides",0,0.523166360868989,0,0,0,0,0,-0.457172172863947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0,0,0,0,0,-0.466468244656434,0,0.516669523707871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.619935040689855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia",0,0,0,0,0.438431759036949,0,0,0.527611565242386,-0.446306429548564,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccaceae_UCG-009",0,0,0,0,0,0,0,0,-0.496624651173324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.625978857295168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus",0,-0.433817569323209,0,0,0,0.529767460550507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Arthromitus",0,0,0.488232407652492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_UCG-014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_vadinBB60_group",0,-0.43688002015936,0,0,0.456819980975362,0,0,0,0,0,0.430453435654628,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.604009549374616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colidextribacter",-0.444850733562809,0,0,0,0,0.552469027225835,0.615702640873637,0,0,0,0.414158686730506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768678417799665,0,0,0,0,0,0,0,0,0
"Corynebacterium",-0.417046710613594,0,0,0,0,0,0,-0.47369740883063,0,0,0,0,0,0,0.4090994709629,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia-Shigella",0,0,0,0,0,0,0,0.423156962427996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_nodatum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0.44577741568271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_oxidoreducens_group",0,0,0,0,0,0,0,0.46056604030093,-0.454681750382053,0,0.597794694764601,0,0,0.445660990453004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_xylanophilum_group",0,0,0,0,0.421233494255786,0.418236294696999,0,0,0,0,0,0,0,0,0,0,0,0.482321288835349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.737435897435897,0,0.668558493129184,0,0,0,0,0,0,0,0,0,0.767683725134623,0,0,0,0
"Faecalibaculum",0,0,0.611117112167023,0,0.425998977281566,0,0,0,0,0,0,0.625978857295168,0,0,0,0,0,0,0,0.416104160114721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
