"","Akkermansia","Alistipes","Allobaculum","Alloprevotella","Anaeroplasma","Anaerotruncus","Anaerovoracaceae_Family_XIII_UCG-001","Bacillus","Bacteroides","Bifidobacterium","Blautia","Butyricicoccaceae_UCG-009","Butyricicoccus","Candidatus_Arthromitus","Clostridia_UCG-014","Clostridia_vadinBB60_group","Colidextribacter","Corynebacterium","Desulfovibrio","Enterorhabdus","Eubacterium_oxidoreducens_group","Eubacterium_xylanophilum_group","Helicobacter","Incertae_Sedis","Intestinimonas","Lachnoclostridium","Lachnospiraceae_A2","Lachnospiraceae_ASF356","Lachnospiraceae_FCS020_group","Lachnospiraceae_GCA-900066575","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG-001","Lachnospiraceae_UCG-006","Lactobacillus","Mucispirillum","Muribaculaceae","Muribaculum","Oscillibacter","Oscillospirales_UCG-010","Parasutterella","Prevotellaceae_UCG-001","Rikenellaceae_RC9_gut_group","Roseburia","Staphylococcus","Tyzzerella"
"Akkermansia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,1,0,0,0,-0.782423591990649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allobaculum",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroplasma",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus",0,-0.782423591990649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerovoracaceae_Family_XIII_UCG-001",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.673913043478261,0,0
"Bifidobacterium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
